model,dataset,output_len,mse,mae
PatchMLP,ETTh1,96,0.37046,0.39148
TQNet,ETTh1,96,0.371,0.393
MMK,ETTh1,96,0.37428198,0.397474319
TimeXer,ETTh1,96,0.382,0.403
CycleNet,ETTh1,96,0.375,0.395
iTransformer,ETTh1,96,0.386,0.405
MSGNet,ETTh1,96,0.39,0.411
TimesNet,ETTh1,96,0.384,0.402
PatchTST,ETTh1,96,0.414,0.419
Crossformer,ETTh1,96,0.423,0.448
DLinear,ETTh1,96,0.386,0.4
PatchMLP,ETTh1,192,0.43092,0.42435
TQNet,ETTh1,192,0.428,0.426
MMK,ETTh1,192,0.418741092,0.429142118
TimeXer,ETTh1,192,0.429,0.435
CycleNet,ETTh1,192,0.436,0.428
iTransformer,ETTh1,192,0.441,0.436
MSGNet,ETTh1,192,0.443,0.442
TimesNet,ETTh1,192,0.436,0.429
PatchTST,ETTh1,192,0.46,0.445
Crossformer,ETTh1,192,0.471,0.474
DLinear,ETTh1,192,0.437,0.432
PatchMLP,ETTh1,336,0.4817,0.44563
TQNet,ETTh1,336,0.476,0.446
MMK,ETTh1,336,0.461163707,0.449688554
TimeXer,ETTh1,336,0.468,0.448
CycleNet,ETTh1,336,0.496,0.455
iTransformer,ETTh1,336,0.487,0.458
MSGNet,ETTh1,336,0.482,0.469
TimesNet,ETTh1,336,0.491,0.469
PatchTST,ETTh1,336,0.501,0.466
Crossformer,ETTh1,336,0.57,0.546
DLinear,ETTh1,336,0.481,0.459
PatchMLP,ETTh1,720,0.50326,0.47395
TQNet,ETTh1,720,0.487,0.47
MMK,ETTh1,720,0.473689765,0.466798976
TimeXer,ETTh1,720,0.469,0.461
CycleNet,ETTh1,720,0.52,0.484
iTransformer,ETTh1,720,0.503,0.491
MSGNet,ETTh1,720,0.496,0.488
TimesNet,ETTh1,720,0.521,0.5
PatchTST,ETTh1,720,0.5,0.488
Crossformer,ETTh1,720,0.653,0.621
DLinear,ETTh1,720,0.519,0.516
PatchMLP,ETTh1,avg,0.446585,0.4338525
TQNet,ETTh1,avg,0.441,0.434
MMK,ETTh1,avg,0.431969136,0.43577599175
TimeXer,ETTh1,avg,0.437,0.437
CycleNet,ETTh1,avg,0.457,0.441
iTransformer,ETTh1,avg,0.454,0.448
MSGNet,ETTh1,avg,0.453,0.453
TimesNet,ETTh1,avg,0.458,0.45
PatchTST,ETTh1,avg,0.469,0.455
Crossformer,ETTh1,avg,0.529,0.522
DLinear,ETTh1,avg,0.456,0.452
PatchMLP,ETTh2,96,0.29129,0.33987
TQNet,ETTh2,96,0.295,0.343
MMK,ETTh2,96,0.301,0.353
TimeXer,ETTh2,96,0.286,0.338
CycleNet,ETTh2,96,0.298,0.344
iTransformer,ETTh2,96,0.297,0.349
MSGNet,ETTh2,96,0.329,0.371
TimesNet,ETTh2,96,0.34,0.374
PatchTST,ETTh2,96,0.302,0.348
Crossformer,ETTh2,96,0.745,0.584
DLinear,ETTh2,96,0.333,0.387
PatchMLP,ETTh2,192,0.36815,0.39077
TQNet,ETTh2,192,0.367,0.393
MMK,ETTh2,192,0.379,0.405
TimeXer,ETTh2,192,0.363,0.389
CycleNet,ETTh2,192,0.372,0.396
iTransformer,ETTh2,192,0.38,0.4
MSGNet,ETTh2,192,0.402,0.414
TimesNet,ETTh2,192,0.402,0.414
PatchTST,ETTh2,192,0.388,0.4
Crossformer,ETTh2,192,0.877,0.656
DLinear,ETTh2,192,0.477,0.476
PatchMLP,ETTh2,336,0.41264,0.42803
TQNet,ETTh2,336,0.417,0.427
MMK,ETTh2,336,0.432,0.446
TimeXer,ETTh2,336,0.414,0.423
CycleNet,ETTh2,336,0.431,0.439
iTransformer,ETTh2,336,0.428,0.432
MSGNet,ETTh2,336,0.44,0.445
TimesNet,ETTh2,336,0.452,0.452
PatchTST,ETTh2,336,0.426,0.433
Crossformer,ETTh2,336,1.043,0.731
DLinear,ETTh2,336,0.594,0.541
PatchMLP,ETTh2,720,0.42329,0.4416
TQNet,ETTh2,720,0.433,0.446
MMK,ETTh2,720,0.446,0.463
TimeXer,ETTh2,720,0.408,0.432
CycleNet,ETTh2,720,0.45,0.458
iTransformer,ETTh2,720,0.427,0.445
MSGNet,ETTh2,720,0.48,0.477
TimesNet,ETTh2,720,0.462,0.468
PatchTST,ETTh2,720,0.431,0.446
Crossformer,ETTh2,720,1.104,0.763
DLinear,ETTh2,720,0.831,0.657
PatchMLP,ETTh2,avg,0.3738425,0.4000675
TQNet,ETTh2,avg,0.378,0.402
MMK,ETTh2,avg,0.3895,0.41675
TimeXer,ETTh2,avg,0.368,0.396
CycleNet,ETTh2,avg,0.388,0.409
iTransformer,ETTh2,avg,0.383,0.407
MSGNet,ETTh2,avg,0.413,0.427
TimesNet,ETTh2,avg,0.414,0.427
PatchTST,ETTh2,avg,0.387,0.407
Crossformer,ETTh2,avg,0.942,0.684
DLinear,ETTh2,avg,0.559,0.515
PatchMLP,ETTm1,96,0.30509,0.34402
TQNet,ETTm1,96,0.311,0.353
MMK,ETTm1,96,0.320342593,0.35836897
TimeXer,ETTm1,96,0.318,0.356
CycleNet,ETTm1,96,0.319,0.36
iTransformer,ETTm1,96,0.334,0.368
MSGNet,ETTm1,96,0.319,0.366
TimesNet,ETTm1,96,0.338,0.375
PatchTST,ETTm1,96,0.329,0.367
Crossformer,ETTm1,96,0.404,0.426
DLinear,ETTm1,96,0.345,0.372
PatchMLP,ETTm1,192,0.35764,0.37553
TQNet,ETTm1,192,0.356,0.378
MMK,ETTm1,192,0.363622591,0.383250579
TimeXer,ETTm1,192,0.362,0.383
CycleNet,ETTm1,192,0.36,0.381
iTransformer,ETTm1,192,0.377,0.391
MSGNet,ETTm1,192,0.377,0.397
TimesNet,ETTm1,192,0.374,0.387
PatchTST,ETTm1,192,0.367,0.385
Crossformer,ETTm1,192,0.45,0.451
DLinear,ETTm1,192,0.38,0.389
PatchMLP,ETTm1,336,0.38606,0.39515
TQNet,ETTm1,336,0.39,0.401
MMK,ETTm1,336,0.395182833,0.404890046
TimeXer,ETTm1,336,0.395,0.407
CycleNet,ETTm1,336,0.389,0.403
iTransformer,ETTm1,336,0.426,0.42
MSGNet,ETTm1,336,0.417,0.422
TimesNet,ETTm1,336,0.41,0.411
PatchTST,ETTm1,336,0.399,0.41
Crossformer,ETTm1,336,0.532,0.515
DLinear,ETTm1,336,0.413,0.413
PatchMLP,ETTm1,720,0.4439,0.43567
TQNet,ETTm1,720,0.452,0.44
MMK,ETTm1,720,0.457113817,0.440193854
TimeXer,ETTm1,720,0.452,0.441
CycleNet,ETTm1,720,0.447,0.441
iTransformer,ETTm1,720,0.491,0.459
MSGNet,ETTm1,720,0.487,0.463
TimesNet,ETTm1,720,0.478,0.45
PatchTST,ETTm1,720,0.454,0.439
Crossformer,ETTm1,720,0.666,0.589
DLinear,ETTm1,720,0.474,0.453
PatchMLP,ETTm1,avg,0.3731725,0.3875925
TQNet,ETTm1,avg,0.377,0.393
MMK,ETTm1,avg,0.3840654585,0.39667586225
TimeXer,ETTm1,avg,0.382,0.397
CycleNet,ETTm1,avg,0.379,0.396
iTransformer,ETTm1,avg,0.407,0.41
MSGNet,ETTm1,avg,0.4,0.412
TimesNet,ETTm1,avg,0.4,0.406
PatchTST,ETTm1,avg,0.387,0.4
Crossformer,ETTm1,avg,0.513,0.495
DLinear,ETTm1,avg,0.403,0.407
PatchMLP,ETTm2,96,0.16759,0.24846
TQNet,ETTm2,96,0.173,0.256
MMK,ETTm2,96,0.176,0.261
TimeXer,ETTm2,96,0.171,0.256
CycleNet,ETTm2,96,0.163,0.246
iTransformer,ETTm2,96,0.18,0.264
MSGNet,ETTm2,96,0.182,0.266
TimesNet,ETTm2,96,0.187,0.267
PatchTST,ETTm2,96,0.175,0.259
Crossformer,ETTm2,96,0.287,0.366
DLinear,ETTm2,96,0.193,0.292
PatchMLP,ETTm2,192,0.22948,0.28915
TQNet,ETTm2,192,0.238,0.298
MMK,ETTm2,192,0.24,0.302
TimeXer,ETTm2,192,0.237,0.299
CycleNet,ETTm2,192,0.229,0.29
iTransformer,ETTm2,192,0.25,0.309
MSGNet,ETTm2,192,0.248,0.306
TimesNet,ETTm2,192,0.249,0.309
PatchTST,ETTm2,192,0.241,0.302
Crossformer,ETTm2,192,0.414,0.492
DLinear,ETTm2,192,0.284,0.362
PatchMLP,ETTm2,336,0.28716,0.3281
TQNet,ETTm2,336,0.301,0.34
MMK,ETTm2,336,0.299,0.342
TimeXer,ETTm2,336,0.296,0.338
CycleNet,ETTm2,336,0.284,0.327
iTransformer,ETTm2,336,0.311,0.348
MSGNet,ETTm2,336,0.312,0.346
TimesNet,ETTm2,336,0.321,0.351
PatchTST,ETTm2,336,0.305,0.343
Crossformer,ETTm2,336,0.597,0.542
DLinear,ETTm2,336,0.369,0.427
PatchMLP,ETTm2,720,0.38841,0.38788
TQNet,ETTm2,720,0.397,0.396
MMK,ETTm2,720,0.397,0.401
TimeXer,ETTm2,720,0.392,0.394
CycleNet,ETTm2,720,0.389,0.391
iTransformer,ETTm2,720,0.412,0.407
MSGNet,ETTm2,720,0.414,0.404
TimesNet,ETTm2,720,0.408,0.403
PatchTST,ETTm2,720,0.402,0.4
Crossformer,ETTm2,720,1.73,1.042
DLinear,ETTm2,720,0.554,0.522
PatchMLP,ETTm2,avg,0.26816,0.3133975
TQNet,ETTm2,avg,0.277,0.323
MMK,ETTm2,avg,0.278,0.3265
TimeXer,ETTm2,avg,0.274,0.322
CycleNet,ETTm2,avg,0.266,0.314
iTransformer,ETTm2,avg,0.288,0.332
MSGNet,ETTm2,avg,0.289,0.33
TimesNet,ETTm2,avg,0.291,0.333
PatchTST,ETTm2,avg,0.281,0.326
Crossformer,ETTm2,avg,0.757,0.611
DLinear,ETTm2,avg,0.35,0.401
PatchMLP,ECL,96,0.13191,0.22293
TQNet,ECL,96,0.134,0.229
MMK,ECL,96,0.1663,0.2556
TimeXer,ECL,96,0.14,0.242
CycleNet,ECL,96,0.136,0.229
iTransformer,ECL,96,0.148,0.24
MSGNet,ECL,96,0.165,0.274
TimesNet,ECL,96,0.168,0.272
PatchTST,ECL,96,0.181,0.27
Crossformer,ECL,96,0.219,0.314
DLinear,ECL,96,0.197,0.282
PatchMLP,ECL,192,0.1498,0.23897
TQNet,ECL,192,0.154,0.247
MMK,ECL,192,0.187067859,0.274009392
TimeXer,ECL,192,0.157,0.256
CycleNet,ECL,192,0.152,0.244
iTransformer,ECL,192,0.162,0.253
MSGNet,ECL,192,0.185,0.292
TimesNet,ECL,192,0.184,0.289
PatchTST,ECL,192,0.188,0.274
Crossformer,ECL,192,0.231,0.322
DLinear,ECL,192,0.196,0.285
PatchMLP,ECL,336,0.16703,0.25708
TQNet,ECL,336,0.169,0.264
MMK,ECL,336,0.204063486,0.289859764
TimeXer,ECL,336,0.176,0.275
CycleNet,ECL,336,0.17,0.264
iTransformer,ECL,336,0.178,0.269
MSGNet,ECL,336,0.197,0.304
TimesNet,ECL,336,0.198,0.3
PatchTST,ECL,336,0.204,0.293
Crossformer,ECL,336,0.246,0.337
DLinear,ECL,336,0.209,0.301
PatchMLP,ECL,720,0.20364,0.29084
TQNet,ECL,720,0.201,0.294
MMK,ECL,720,0.246670909,0.323021039
TimeXer,ECL,720,0.211,0.306
CycleNet,ECL,720,0.212,0.299
iTransformer,ECL,720,0.225,0.317
MSGNet,ECL,720,0.231,0.332
TimesNet,ECL,720,0.22,0.32
PatchTST,ECL,720,0.246,0.324
Crossformer,ECL,720,0.28,0.363
DLinear,ECL,720,0.245,0.333
PatchMLP,ECL,avg,0.163095,0.252455
TQNet,ECL,avg,0.164,0.259
MMK,ECL,avg,0.2010255635,0.28562254875
TimeXer,ECL,avg,0.171,0.27
CycleNet,ECL,avg,0.168,0.259
iTransformer,ECL,avg,0.178,0.27
MSGNet,ECL,avg,0.194,0.301
TimesNet,ECL,avg,0.193,0.295
PatchTST,ECL,avg,0.205,0.29
Crossformer,ECL,avg,0.244,0.334
DLinear,ECL,avg,0.212,0.3
PatchMLP,Solar,96,0.17908,0.22544
TQNet,Solar,96,0.173,0.233
TimeXer,Solar,96,0.215,0.295
CycleNet,Solar,96,0.19,0.247
iTransformer,Solar,96,0.203,0.237
MSGNet,Solar,96,0.21,0.246
TimesNet,Solar,96,0.25,0.292
PatchTST,Solar,96,0.234,0.286
Crossformer,Solar,96,0.31,0.331
DLinear,Solar,96,0.29,0.378
PatchMLP,Solar,192,0.19832,0.23824
TQNet,Solar,192,0.199,0.257
TimeXer,Solar,192,0.236,0.301
CycleNet,Solar,192,0.21,0.266
iTransformer,Solar,192,0.233,0.261
MSGNet,Solar,192,0.265,0.29
TimesNet,Solar,192,0.296,0.318
PatchTST,Solar,192,0.267,0.31
Crossformer,Solar,192,0.734,0.725
DLinear,Solar,192,0.32,0.398
PatchMLP,Solar,336,0.21034,0.23823
TQNet,Solar,336,0.211,0.263
TimeXer,Solar,336,0.252,0.307
CycleNet,Solar,336,0.217,0.266
iTransformer,Solar,336,0.248,0.273
MSGNet,Solar,336,0.294,0.318
TimesNet,Solar,336,0.319,0.33
PatchTST,Solar,336,0.29,0.315
Crossformer,Solar,336,0.75,0.735
DLinear,Solar,336,0.353,0.415
PatchMLP,Solar,720,0.21746,0.24876
TQNet,Solar,720,0.209,0.27
TimeXer,Solar,720,0.244,0.305
CycleNet,Solar,720,0.223,0.266
iTransformer,Solar,720,0.249,0.275
MSGNet,Solar,720,0.285,0.315
TimesNet,Solar,720,0.338,0.337
PatchTST,Solar,720,0.289,0.317
Crossformer,Solar,720,0.769,0.765
DLinear,Solar,720,0.356,0.413
PatchMLP,Solar,avg,0.2013,0.2376675
TQNet,Solar,avg,0.198,0.256
TimeXer,Solar,avg,0.237,0.302
CycleNet,Solar,avg,0.21,0.261
iTransformer,Solar,avg,0.233,0.262
MSGNet,Solar,avg,0.263,0.292
TimesNet,Solar,avg,0.301,0.319
PatchTST,Solar,avg,0.27,0.307
Crossformer,Solar,avg,0.641,0.639
DLinear,Solar,avg,0.33,0.401
PatchMLP,Traffic,96,0.39573,0.24369
TQNet,Traffic,96,0.413,0.261
MMK,Traffic,96,0.511,0.324
TimeXer,Traffic,96,0.428,0.271
CycleNet,Traffic,96,0.458,0.296
iTransformer,Traffic,96,0.395,0.268
MSGNet,Traffic,96,0.608,0.349
TimesNet,Traffic,96,0.593,0.321
